Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Sushi Sen-Nin,Japanese / Sushi,"Murray Hill, New York, NY","30 E 33rd St, New York, NY 10016, USA",40.7467682,-73.9829632
Indian Table,Indian,"Cobble Hill, New York, NY","234 Court St, Brooklyn, NY 11201, USA",40.6860356,-73.99441160000000
Smith & Wollensky,Steakhouse,"Midtown East, New York, NY","797 3rd Ave, New York, NY 10022, USA",40.75526,-73.97095
Urban Cove Society & Kitchen,American (New),"The Seaport, New York, NY","33 Peck Slip, New York, NY 10038, USA",40.7080206,-74.0014468
The Independent,American (New),"Times Square/Theatre District, New York, NY","147 W 40th St, New York, NY 10018, USA",40.7547596,-73.98743500000000
HanGawi,Korean,"Koreatown, New York, NY","12 E 32nd St, New York, NY 10016, USA",40.7466666,-73.98473110000000
The Flatiron Room - NoMad,American (New),"Nomad, New York, NY","37 W 26th St, New York, NY 10010, USA",40.7445519,-73.99043240000000
Zoì Mediterranean NoMad,Mediterranean,"Koreatown, New York, NY","19 W 31st St, New York, NY 10001, USA",40.74722380000000,-73.9870206
Miriam Upper West Side,Mediterranean,"Upper West Side, New York, NY","300 Amsterdam Ave, New York, NY 10023, USA",40.7802374,-73.9809789
Park Ave Kitchen by David Burke,American (New),"Midtown East, New York, NY","514 Lexington Ave, New York, NY 10017, USA",40.7552566,-73.97356170000000
Junoon,Indian,"Flatiron District, New York, NY","19 W 24th St, New York, NY 10010, USA",40.743029,-73.99044600000000
Nami Nori - Williamsburg,Japanese / Sushi,"Williamsburg, New York, NY","236 N 12th St, Brooklyn, NY 11211, USA",40.7190781,-73.9528907
Felice 64,Italian,"Upper East Side, New York, NY","1166 1st Ave, New York, NY 10065, USA",40.762514,-73.959485
Bar56,American (New),"Dumbo, New York, NY","53 Water St, Brooklyn, NY 11201, USA",40.7033899,-73.9923524
The Russian Tea Room,Continental,"Midtown West, New York, NY","150 W 57th St, New York, NY 10019, USA",40.7649085,-73.9794933
Balade,Middle Eastern,"East Village, New York, NY","208 1st Ave, New York, NY 10009, USA",40.7302839,-73.9830748
Pastai,Italian,"Chelsea, New York, NY","186 9th Ave, New York, NY 10011, USA",40.74540580000000,-74.0018528
Essex,Steakhouse,"Lower East Side, New York, NY","124 Rivington St, New York, NY 10002, USA",40.7197875,-73.98709990000000
Chela,Mexican,"Park Slope, New York, NY","408 5th Ave, Brooklyn, NY 11215, USA",40.67032280000000,-73.985704
Pappardella,Italian,"Upper West Side, New York, NY","316 Columbus Ave, New York, NY 10023, USA",40.7793602,-73.9778048
Central Park Boathouse,Continental,"Central Park, New York, NY","EAST 72ND ST +, Center Dr, New York, NY 10021, USA",40.769256,-73.9594284
Alta Calidad,Mexican,"Prospect Heights, New York, NY","552 Vanderbilt Ave, Brooklyn, NY 11238, USA",40.6801241,-73.9681614
Dagon,Mediterranean,"Upper West Side, New York, NY","2454 Broadway, New York, NY 10024, USA",40.7911514,-73.97390830000000
The Ribbon—Upper West Side,American (New),"Upper West Side, New York, NY","20 W 72nd St, New York, NY 10023, USA",40.776525,-73.9773718
Mokyo,Korean,"East Village, New York, NY","109 St Marks Pl, New York, NY 10009, USA",40.7272256,-73.9838872
Barbalu Bklyn,Italian,"Boerum Hill, New York, NY","68 Bergen St, Brooklyn, NY 11201, USA",40.6867438,-73.9910146
Dirty French,French,"Lower East Side, New York, NY","180 Ludlow St, New York, NY 10002, USA",40.7218543,-73.9871679
Nar Restaurant,Mediterranean,"Flatiron District, New York, NY","34 E 20th St #3, New York, NY 10003, USA",40.7385358,-73.98877640000000
Pete's Tavern,American (Traditional),"Gramercy, New York, NY","129 E 18th St, New York, NY 10003, USA",40.736528,-73.9866747
1803 NYC,Cajun/Creole,"Tribeca, New York, NY","82 Reade St, New York, NY 10007, USA",40.7148664,-74.0065159
Tudor City Steakhouse,Steakhouse,"Midtown East, New York, NY","45 Tudor City Pl, New York, NY 10017, USA",40.7493702,-73.9699861
The Palm - Midtown,Steakhouse,"Times Square/Theatre District, New York, NY","250 W 50th St, New York, NY 10019, USA",40.7619382,-73.98571630000000
Boucherie West Village,French,"West Village, New York, NY","99 7th Ave S, New York, NY 10014, USA",40.733047,-74.0028772
Il Carino,Italian,"Upper East Side, New York, NY","1710 2nd Ave, New York, NY 10128, USA",40.7794742,-73.9502189
Kyma Hudson Yards,Greek,"Hudson Yards, New York, NY","445 W 35th St, New York, NY 10001, USA",40.7551217,-73.9978216
Virgil's Real BBQ - Times Square,Barbecue,"Times Square/Theatre District, New York, NY","152 W 44th St, New York, NY 10036, USA",40.7567595,-73.9851662
Bar Primi - Bowery,Italian,"East Village, New York, NY","325 Bowery, New York, NY 10003, USA",40.7257162,-73.9916803
Benny John's Bar and Grill,Steakhouse,"Midtown East, New York, NY","8 E 48th St, New York, NY 10017, USA",40.7568173,-73.9774474
Frenchman's Dough,Italian,"The Seaport, New York, NY","96 South St, New York, NY 10038, USA",40.70619500000000,-74.00226910000000
T. Brasserie,French,"The Seaport, New York, NY","96 South St, New York, NY 10038, USA",40.70619500000000,-74.00226910000000
Le Basque,French,"Union Square, New York, NY","15 Union Square W, New York, NY 10003, USA",40.73589340000000,-73.9917033
Quality Bistro,French,"Midtown West, New York, NY","120 W 55th St, New York, NY 10019, USA",40.7631488,-73.97922420000000
Villa Berulia,Italian,"Murray Hill, New York, NY","107 E 34th St, New York, NY 10016, USA",40.7469315,-73.98053950000000
Gran Morsi,Italian,"Tribeca, New York, NY","22 Warren St, New York, NY 10007, USA",40.7143252,-74.00777960000000
Catch NYC,Seafood,"Meatpacking District, New York, NY","21 9th Ave, New York, NY 10014, USA",40.740127,-74.006202
Jazba,Indian,"East Village, New York, NY","207 2nd Ave, New York, NY 10003, USA",40.7317071,-73.9858725
Bocca Di Bacco—Hell's Kitchen,Italian,"Hells Kitchen, New York, NY","836 9th Ave, New York, NY 10019, USA",40.7662696,-73.986706
Obao Hell's Kitchen,Thai,"Hells Kitchen, New York, NY","647 9th Ave, New York, NY 10036, USA",40.7606617,-73.99133860000000
Pera SoHo,Mediterranean,"Soho, New York, NY","54 Thompson Street, corner of, Broome St, New York, NY 10012, USA",40.7238441,-74.0033262
Wayward Fare,Italian,"Prospect Heights, New York, NY","554 Vanderbilt Ave, Brooklyn, NY 11238, USA",40.6800795,-73.9682811
Bond 45,Italian,"Times Square/Theatre District, New York, NY","221 W 46th St, New York, NY 10036, USA",40.7593741,-73.98617450000000
Bar Primi - Penn District,Italian,"Chelsea, New York, NY","349 W 33rd St, New York, NY 10001, USA",40.7524624,-73.9958877
BOTA Supper Club,American (New),"St. George, New York, NY","402 St Marks Pl, Staten Island, NY 10301, USA",40.6399365,-74.0777926
Nudibranch,Korean,"East Village, New York, NY","125 1st Ave, New York, NY 10003, USA",40.7274205,-73.9857285
Burger & Lobster Bryant Park,Seafood,"Times Square/Theatre District, New York, NY","132 W 43rd St, New York, NY 10036, USA",40.7559517,-73.9851995
Marseille,French,"Hells Kitchen, New York, NY","630 9th Ave, New York, NY 10036, USA",40.759987,-73.9912338
Hearth,Italian,"East Village, New York, NY","403 E 12th St, New York, NY 10009, USA",40.7300263,-73.9831883
Dagg Thai,Thai,"Murray Hill, New York, NY","10 E 39th St, New York, NY 10016, USA",40.751161,-73.981529
La Pecora Bianca NoMad,Italian,"Nomad, New York, NY","1133 Broadway, New York, NY 10010, USA",40.7436889,-73.989176
Nice Matin,French,"Upper West Side, New York, NY","201 W 79th St, New York, NY 10024, USA",40.783438,-73.97849150000000
Trattoria Dell'Arte,Italian,"Midtown West, New York, NY","900 7th Ave, New York, NY 10106, USA",40.7653677,-73.9803759
Francie,American (New),"Williamsburg, New York, NY","136 Broadway, Brooklyn, NY 11249, USA",40.7101876,-73.9640308
Momoya Soho,Japanese / Sushi,"Nolita, New York, NY","47 Prince St, New York, NY 10012, USA",40.7235132,-73.9958467
Hunt & Fish Club NYC,Steakhouse,"Times Square/Theatre District, New York, NY","125 W 44th St, New York, NY 10036, USA",40.756771,-73.9842496
Scarpetta,Italian,"Nomad, New York, NY","88 Madison Ave, New York, NY 10016, USA",40.7443811,-73.98563590000000
Rosevale Cocktail Room,American (New),"Hells Kitchen, New York, NY","305 W 48th St 2nd Floor, New York, NY 10036, USA",40.76143,-73.9874509
Travelers Poets & Friends,Italian,"West Village, New York, NY","457 6th Ave, New York, NY 10011, USA",40.735255,-73.998673
Il Mulino Prime | Soho,Steakhouse,"Soho, New York, NY","331 W Broadway, New York, NY 10013, USA",40.7221361,-74.00382020000000
Wabi Nori,Japanese / Sushi,"Lower East Side, New York, NY","115 Essex St, New York, NY 10002, USA",40.7195897,-73.98796400000000
Heritage Grand Bakery,Mediterranean,"Midtown West, New York, NY","8 W 40th St, New York, NY 10018, USA",40.7522652,-73.9826166
Vino &... - Eataly NYC Downtown,Italian,"Lower Manhattan, New York, NY","101 Liberty St, New York, NY 10006, USA",40.71031870000000,-74.011926
Crave Fishbar - Upper East Side,Seafood,"Upper East Side, New York, NY","1462 2nd Ave, New York, NY 10075, USA",40.7715742,-73.9560201
The Greenhouse Cafe,American (New),"Bay Ridge, New York, NY","7717 3rd Ave, Brooklyn, NY 11209, USA",40.6295393,-74.0283024
Robert,American (New),"Midtown West, New York, NY","2 Columbus Cir, New York, NY 10019, USA",40.7674065,-73.9819905
Rosemary's West Village,Italian,"West Village, New York, NY","18 Greenwich Ave, New York, NY 10011, USA",40.7348852,-73.9996717
The Stand,Italian,"Union Square, New York, NY","116 E 16th St, New York, NY 10003, USA",40.73534,-73.9884797
Schilling,Austrian,"Lower Manhattan, New York, NY","109 Washington St, New York, NY 10006, USA",40.7085844,-74.01401660000000
Olio e Più Bryant Park,Italian,"Midtown West, New York, NY","5 Bryant Pk, New York, NY 10018, USA",40.7540133,-73.9854801
Rosemary's East,Italian,"Gramercy, New York, NY","350 1st Ave, New York, NY 10010, USA",40.7350134,-73.9763913
Miriam West Village,Mediterranean,"West Village, New York, NY","140 7th Ave S, New York, NY 10014, USA",40.734727,-74.0023992
Sagaponack,Seafood,"Flatiron District, New York, NY","4 W 22nd St, New York, NY 10010, USA",40.7409362,-73.9907851
Zoì Mediterranean UES,Mediterranean,"Upper East Side, New York, NY","1480 2nd Ave, New York, NY 10075, USA",40.771994,-73.955612
Parklife,Mexican,"Gowanus, New York, NY","636 Degraw St, Brooklyn, NY 11217, USA",40.6787242,-73.9832208
Jing Li,Chinese,"Long Island City, New York, NY","27-35 Jackson Ave, Long Island City, NY 11101, USA",40.7481812,-73.9403027
Casa Brazilian,Brazilian,"Tribeca, New York, NY","157 Duane St, New York, NY 10013, USA",40.7169073,-74.00858900000000
Wayan,Asian Fusion,"Nolita, New York, NY","20 Spring St, New York, NY 10012, USA",40.7212544,-73.9951375
Sempre Oggi,Italian,"Upper West Side, New York, NY","164 W 75th St, New York, NY 10023, USA",40.7802763,-73.97988940000000
Strip House Downtown,Steakhouse,"Greenwich Village, New York, NY","13 E 12th St, New York, NY 10003, USA",40.734316,-73.99351420000000
Vallata,Italian,"Gramercy, New York, NY","47 E 19th St, New York, NY 10003, USA",40.7380708,-73.9886063
Dante,Italian,"Greenwich Village, New York, NY","79-81 MacDougal St, New York, NY 10012, USA",40.728782,-74.0016414
ofCorsica,Mediterranean,"Chelsea, New York, NY","25 11th Ave, New York, NY 10011, USA",40.74294100000000,-74.0091145
Cafe D'Alsace,French,"Upper East Side, New York, NY","1703 2nd Ave, New York, NY 10128, USA",40.7794553,-73.9509281
Kyu NYC,Asian Fusion,"Noho, New York, NY","324 Lafayette St, New York, NY 10012, USA",40.7256063,-73.99526140000000
Le Jardinier,French,"Midtown East, New York, NY","610 Lexington Ave, New York, NY 10022, USA",40.7583074,-73.97138680000000
The Paris Cafe,French,"The Seaport, New York, NY","119 South Street, 119 Peck Slip, New York, NY 10038, USA",40.7072716,-74.0015945
AperiBar,Italian,"Times Square/Theatre District, New York, NY","LUMA Hotel Times Square, 120 W 41st St, New York, NY 10036, USA",40.7545818,-73.9857708
Kraam,Thai,"Nomad, New York, NY","254 5th Ave, New York, NY 10001, USA",40.74497340000000,-73.98743450000000
American Cut Tribeca,Steakhouse,"Tribeca, New York, NY","363 Greenwich St, New York, NY 10013, USA",40.7190968,-74.01001440000000
Hard Rock Cafe,American (Traditional),"Times Square/Theatre District, New York, NY","1501 Broadway, New York, NY 10036, USA",40.7579747,-73.9855426
Lattanzi Cucina Italiana,Italian,"Times Square/Theatre District, New York, NY","361 W 46th St, New York, NY 10036, USA",40.760863,-73.99001180000000
Jupiter,Italian,"Midtown West, New York, NY","Rink Level, 20 W 50th St, New York, NY 10020, USA",40.75890130000000,-73.9787731
Patsy's Italian Restaurant,Italian,"Midtown West, New York, NY","236 W 56th St, New York, NY 10019, USA",40.7655465,-73.9828126
Masseria Dei Vini,Italian,"Hells Kitchen, New York, NY","887 9th Ave, New York, NY 10019, USA",40.7684477,-73.9857048
Restaurant Nippon,Japanese / Sushi,"Midtown East, New York, NY","155 E 52nd St, New York, NY 10022, USA",40.7574337,-73.97037640000000
Cut,Steakhouse,"Lower Manhattan, New York, NY","99 Church St, New York, NY 10007, USA",40.7128448,-74.0089923
Altesi Downtown,Italian,"Soho, New York, NY","200 Spring St, New York, NY 10012, USA",40.7249892,-74.003455
Naks,Filipino,"New York, NY","201 1st Ave, New York, NY 10003, USA",40.7303138,-73.98363000000000
Eléa,Greek,"Upper West Side, New York, NY","217 W 85th St, New York, NY 10024, USA",40.7875756,-73.97644700000000
The Long Room,Irish,"Times Square/Theatre District, New York, NY","120 W 44th St, New York, NY 10036, USA",40.7564769,-73.984303
Del Frisco's Grille,Steakhouse,"Midtown West, New York, NY","50 Rockefeller Plaza, New York, NY 10020, USA",40.7594905,-73.9784974
Palo Santo,Latin American,"Park Slope, New York, NY","652 Union St, Brooklyn, NY 11215, USA",40.6767792,-73.9819763
Industry Kitchen,American (New),"The Seaport, New York, NY","70 South St, New York, NY 10005, USA",40.7031277,-74.0083191
Sushi Lab Rooftop,Japanese / Sushi,"Times Square/Theatre District, New York, NY","132 W 47th St, New York, NY 10036, USA",40.7584057,-73.9833062
Empire Steak House - Midtown East,Steakhouse,"Midtown East, New York, NY","151 E 50th St, New York, NY 10022, USA",40.7561844,-73.9712258
Sicily Osteria,Italian,"Times Square/Theatre District, New York, NY","328-330 W 46th St, New York, NY 10036, USA",40.7601601,-73.9891863
Nick + Stef's Steakhouse,Steakhouse,"Midtown West, New York, NY","9 Pennsylvania Plaza, New York, NY 10001, USA",40.7510502,-73.9932346
Bonsaii Tapas & Wine Bar,Continental,"Midtown East, New York, NY","127 E 55th St, New York, NY 10022, USA",40.7600087,-73.9704053
The Dynamo Room,Steakhouse,"Chelsea, New York, NY","2 Pennsylvania Plaza, New York, NY 10121, USA",40.7494331,-73.9914027
Nino's,Italian,"Midtown East, New York, NY","405 E 52nd St, New York, NY 10022, USA",40.7550069,-73.9646207
Altesi Ristorante,Italian,"Upper East Side, New York, NY","26 E 64th St, New York, NY 10065, USA",40.7666942,-73.9695861
Morgan's Brooklyn Barbecue,Barbecue,"Prospect Heights, New York, NY","267 Flatbush Ave, Brooklyn, NY 11217, USA",40.6798958,-73.9740726
French Roast,French,"Upper West Side, New York, NY","2340 Broadway, New York, NY 10024, USA",40.7876461,-73.9767636
Estiatorio Milos Hudson Yards,Seafood,"Hudson Yards, New York, NY","20 Hudson Yards Fifth Floor, New York, NY 10001, USA",40.7533936,-74.00105500000000
Harta,American (New),"Garment District, New York, NY","30 W 39th St, New York, NY 10018, USA",40.7520653,-73.9838791
Uva Next Door,Italian,"Upper East Side, New York, NY","1484 2nd Ave, New York, NY 10075, USA",40.7721555,-73.9556516
Nusr-Et - Midtown,Steakhouse,"Midtown West, New York, NY","60 W 53rd St, New York, NY 10019, USA",40.7612786,-73.9787097
Gui Steakhouse,Steakhouse,"Times Square/Theatre District, New York, NY","776 8th Ave, New York, NY 10036, USA",40.7605436,-73.9870459
The Parliament,American (Traditional),"Midtown East, New York, NY","557 Lexington Ave, New York, NY 10022, USA",40.756593,-73.971947
Jack & Charlie’s No. 118,American (New),"West Village, New York, NY","118 Greenwich Ave, New York, NY 10011, USA",40.7385575,-74.0021182
Aqua Kyoto,Japanese / Sushi,"Flatiron District, New York, NY","20 E 21st St, New York, NY 10010, USA",40.7396059,-73.98921040000000
Liebman’s Deli,Delicatessen,"Riverdale, New York, NY","552 W 235th St, Bronx, NY 10463, USA",40.8854948,-73.90969970000000
La Pizza & La Pasta,Italian,"Lower Manhattan, New York, NY","101 Liberty St, New York, NY 10006, USA",40.71031870000000,-74.011926
Baciccia Pizza e Cucina,Italian,"Park Slope, New York, NY","426A 7th Ave, Brooklyn, NY 11215, USA",40.6638125,-73.98445340000000
Brooklyn Chop House - Downtown,Steakhouse,"Lower Manhattan, New York, NY","150 Nassau St, New York, NY 10038, USA",40.7115483,-74.0059043
Churrascaria Plataforma Brazilian Steakhouse,Brazilian,"Midtown West, New York, NY","316 W 49th St, New York, NY 10019, USA",40.7619279,-73.9877249
Zuma,Japanese / Sushi,"Murray Hill, New York, NY","261 Madison Ave, New York, NY 10016, USA",40.7505033,-73.98064520000000
The Clocktower,British,"Flatiron District, New York, NY","5 Madison Ave, New York, NY 10010, USA",40.7412664,-73.9874068
Felice Columbus,Italian,"Upper West Side, New York, NY","240 Columbus Ave, New York, NY 10023, USA",40.7769784,-73.9793528
The Tuck Room,Gastropub,"The Seaport, New York, NY","11 Fulton St, New York, NY 10038, USA",40.706706,-74.0032846
Cebu Bar & Bistro,American (New),"Bay Ridge, New York, NY","8801 3rd Ave, Brooklyn, NY 11209, USA",40.6218955,-74.03142490000000
Veerays,Indian,"Midtown East, New York, NY","213 E 45th St, New York, NY 10017, USA",40.7525585,-73.97228460000000
Next Door,Japanese / Sushi,"Noho, New York, NY","770 Broadway, New York, NY 10003, USA",40.7309692,-73.9916844
Little Maven,American (New),"Flatiron District, New York, NY","30 W 18th St, New York, NY 10011, USA",40.7390611,-73.99337880000000
The Gallery,Japanese / Sushi,"Flatiron District, New York, NY","17 W 20th St 4th Floor, New York, NY 10011, USA",40.7403982,-73.9921624
Takumen,Japanese / Sushi,"Long Island City, New York, NY","5-50 50th Ave, Long Island City, NY 11101, USA",40.7426643,-73.9547002
Limusina,Mexican,"Hells Kitchen, New York, NY","441 9th Ave, New York, NY 10001, USA",40.7541648,-73.99643450000000
Stone Park Cafe,American (New),"Park Slope, New York, NY","324 5th Ave, Brooklyn, NY 11215, USA",40.6729864,-73.98335570000000
Vin Sur Vingt - E. 51st St.,French,"Midtown East, New York, NY","230 E 51st St, New York, NY 10022, USA",40.7556979,-73.9691596
Miriam Upper East Side,Mediterranean,"Upper East Side, New York, NY","973 Lexington Ave, New York, NY 10021, USA",40.7693115,-73.9626262
El Coco - Hell's Kitchen,Mexican,"Hells Kitchen, New York, NY","828 9th Ave, New York, NY 10019, USA",40.766136,-73.9867939
Twenty-Sevens,American (New),"Midtown West, New York, NY","870 7th Ave, New York, NY 10019, USA",40.7644049,-73.9810836
Miss Lily's 7A,Caribbean,"East Village, New York, NY","109 Avenue A, New York, NY 10009, USA",40.7260534,-73.9838523
Anassa Taverna - Manhattan,Greek,"Upper East Side, New York, NY","200 E 60th St, New York, NY 10022, USA",40.7619358,-73.96590310000000
La Baraka,French,"Little Neck, New York, NY","255-09 Northern Blvd, Little Neck, NY 11362, USA",40.77233,-73.734397
The Dolar Shop Hot Pot,Chinese,"East Village, New York, NY","55 3rd Ave, New York, NY 10003, USA",40.7310965,-73.98850790000000
La Pizza & La Pasta,Italian,"Flatiron District, New York, NY","200 5th Ave, New York, NY 10010, USA",40.7419668,-73.9895296
Maggie's Place,American (New),"Midtown East, New York, NY","21 E 47th St, New York, NY 10017, USA",40.7562972,-73.97711450000000
The Dining Room at Gramercy Tavern,American (New),"Gramercy, New York, NY","42 E 20th St, New York, NY 10003, USA",40.73846350000000,-73.98851050000000
Dear Strangers,American (New),"Greenwich Village, New York, NY","147 W 4th St, New York, NY 10012, USA",40.731602,-74.000376
Isabelle's Osteria,Italian,"Gramercy, New York, NY","245 Park Ave S, New York, NY 10003, USA",40.737976,-73.9875872
San Sabino,Italian,"West Village, New York, NY","113 Greenwich Ave, New York, NY 10014, USA",40.7380199,-74.0021622
So & So's,American (New),"Hells Kitchen, New York, NY","302 W 52nd St, New York, NY 10019, USA",40.7635668,-73.9854912
Ginger Ristoranti,Italian,"Midtown West, New York, NY","123 W 49th St, New York, NY 10020, USA",40.7601622,-73.98237070000000
The Quimby,American (New),"Jamaica, New York, NY","135-25 142nd St, South Ozone Park, NY 11436, USA",40.6673965,-73.796598
The Splendid,American (New),"Midtown East, New York, NY","16 E 52nd St, New York, NY 10022, USA",40.75922380000000,-73.9754545
Roey's,Italian,"West Village, New York, NY","1 Perry St, New York, NY 10014, USA",40.7359857,-74.00098920000000
Psaraki,Greek,"Williamsburg, New York, NY","420 Kent Ave, Brooklyn, NY 11249, USA",40.70968550000000,-73.9691358
Anton’s,American (New),"West Village, New York, NY","570 Hudson St, New York, NY 10014, USA",40.7356767,-74.0057727
Torch & Crown Brewing Company,American (New),"Hudson Square, New York, NY","12 Vandam St, New York, NY 10013, USA",40.7262149,-74.00429200000000
Palermo Argentinian Bistro - NYC,Argentinian,"Times Square/Theatre District, New York, NY","373 W 46th St, New York, NY 10036, USA",40.760954,-73.990343
DomoDomo NYC,Japanese / Sushi,"Greenwich Village, New York, NY","140 W Houston St, New York, NY 10012, USA",40.7280131,-74.00161780000000
Lincoln Ristorante,Italian,"Upper West Side, New York, NY","142 W 65th St, New York, NY 10023, USA",40.77337010000000,-73.983728
Ilili Restaurant,Mediterranean,"Nomad, New York, NY","236 5th Ave, New York, NY 10001, USA",40.7444147,-73.98791950000000
Jacques Brasserie,French,"Upper East Side, New York, NY","206 E 85th St, New York, NY 10028, USA",40.7778319,-73.9541443
"Lorenzo's Restaurant, Bar & Cabaret",Italian,"Bloomfield, New York, NY","1100 South Ave, Staten Island, NY 10314, USA",40.6148998,-74.17674940000000
Yakiniku Futago,Steakhouse,"Flatiron District, New York, NY","37 W 17th St, New York, NY 10011, USA",40.7388959,-73.99409060000000
Masseria East,Italian,"Upper East Side, New York, NY","1404 3rd Ave, New York, NY 10075, USA",40.7749099,-73.9571627
Momoya - Upper West Side,Japanese / Sushi,"Upper West Side, New York, NY","427 Amsterdam Ave, New York, NY 10024, USA",40.7840028,-73.9773355
Soogil,Korean,"East Village, New York, NY","108 E 4th St, New York, NY 10003, USA",40.7255384,-73.988357
Chito Gvrito NYC,Eastern European,"Gramercy, New York, NY","173 3rd Ave, New York, NY 10003, USA",40.7347628,-73.9858605
Nougatine at Jean-Georges,American (New),"Upper West Side, New York, NY","1 Central Prk W, New York, NY 10023, USA",40.7690255,-73.98162550000000
Pink Taco,Mexican,"Times Square/Theatre District, New York, NY","7 Times Sq, New York, NY 10036, USA",40.755583,-73.9868327
Sofrito on the Hudson,Puerto Rican,"Hamilton Heights, New York, NY","679 Riverside Dr, New York, NY 10031, USA",40.82487830000000,-73.9572898
Marsanne,Mediterranean,"Chelsea, New York, NY","233 8th Ave, New York, NY 10011, USA",40.7446196,-73.9992322
Baci & Abbracci,Italian,"Williamsburg, New York, NY","204 Grand St, Brooklyn, NY 11211, USA",40.713973,-73.960411
Treadwell Park - Downtown,American (Traditional),"Battery Park City, New York, NY","301 S End Ave, New York, NY 10280, USA",40.7103436,-74.016542
Maiella,Italian,"Long Island City, New York, NY","46-10 Center Blvd, Long Island City, NY 11109, USA",40.7473062,-73.9570081
DiWine,American (New),"Astoria, New York, NY","41-15 31st Ave, Astoria, NY 11103, USA",40.7608158,-73.9156375
Boucherie Union Square,French,"Gramercy, New York, NY","225 Park Ave S, New York, NY 10003, USA",40.7371095,-73.9875967
Benjamin Steakhouse,Steakhouse,"Midtown East, New York, NY","Inside The Dylan Hotel, 52 E 41st St, New York, NY 10017, USA",40.7516345,-73.9790926
Il Buco Alimentari & Vineria,Italian,"Noho, New York, NY","53 Great Jones St, New York, NY 10012, USA",40.7264217,-73.992587
'ino,Italian,"Flatiron District, New York, NY","31 E 20th St, New York, NY 10003, USA",40.7389849,-73.98895280000000
Marlow Bistro,Mediterranean,"Upper West Side, New York, NY","1018 Amsterdam Ave, New York, NY 10025, USA",40.802973,-73.9642863
Ayza,American (New),"Koreatown, New York, NY","11 W 31st St, New York, NY 10001, USA",40.7471122,-73.98690430000000
Redeye Grill,American (New),"Midtown West, New York, NY","890 7th Ave, New York, NY 10019, USA",40.7651937,-73.9806837
Lillie's Victorian—Union Square,American (New),"Union Square, New York, NY","13 E 17th St, New York, NY 10003, USA",40.7376827,-73.9911213
Acadia,Mediterranean,"Midtown West, New York, NY","101 W 57th St, New York, NY 10019, USA",40.7646408,-73.9772407
The Uptown Garrison,American (New),"Washington Heights, New York, NY","821 W 181st St, New York, NY 10033, USA",40.851348,-73.939392
La Sirene,French,"Soho, New York, NY","558 Broome St, New York, NY 10013, USA",40.7245388,-74.0057075
Gallaghers Steakhouse,Steakhouse,"Times Square/Theatre District, New York, NY","228 W 52nd St, New York, NY 10019, USA",40.7628299,-73.9838826
Stout NYC Penn Station,American (Traditional),"Herald Square, New York, NY","215 W 35th St, New York, NY 10001, USA",40.751876,-73.99108500000000
Copinette,American (New),"Midtown East, New York, NY","891 1st Ave, New York, NY 10022, USA",40.7541516,-73.96626170000000
La Pecora Bianca Midtown,Italian,"Midtown East, New York, NY","950 2nd Ave, New York, NY 10022, USA",40.755001,-73.9682432
Calle Dão - Bryant Park,Asian Fusion,"Midtown West, New York, NY","38 W 39th St, New York, NY 10018, USA",40.75216340000000,-73.9842196
Planet Hollywood New York,American (New),"Times Square/Theatre District, New York, NY","136 W 42nd St, New York, NY 10036, USA",40.7553294,-73.9857901
Kru,Thai,"Greenpoint, New York, NY","190 N 14th St, Brooklyn, NY 11249, USA",40.7228016,-73.9557975
J’s On The Bay,American (New),"Rosebank, New York, NY","1189 Bay St, Staten Island, NY 10305, USA",40.6143729,-74.0661089
The Flatiron Room - Murray Hill,American (New),"Murray Hill, New York, NY","9 E 37th St, New York, NY 10016, USA",40.7501775,-73.98215940000000
Fushimi - Times Square,Japanese / Sushi,"Hells Kitchen, New York, NY","311 W 43rd St, New York, NY 10036, USA",40.7584564,-73.9900329
Temple Court,American (New),"Lower Manhattan, New York, NY","5 Beekman St, New York, NY 10038, USA",40.7112585,-74.0066214
Celeste,Italian,"Upper West Side, New York, NY","502 Amsterdam Ave, New York, NY 10024, USA",40.7866992,-73.9760929
Clara,American (New),"Upper West Side, New York, NY","170 Central Prk W, New York, NY 10024, USA",40.7792476,-73.9742792
The Bronx Beer Hall,Pizza,"Belmont, New York, NY","2344 Arthur Ave, Bronx, NY 10458, USA",40.8541746,-73.8881983
Victor's Cafe,Cuban,"Times Square/Theatre District, New York, NY","236 W 52nd St, New York, NY 10019, USA",40.7628851,-73.9841351
Osteria by Primo,Italian,"Todt Hill, New York, NY","1282 Richmond Rd, Staten Island, NY 10304, USA",40.5961236,-74.0949433
House of the Red Pearl,Chinese,"The Seaport, New York, NY","96 South St, New York, NY 10038, USA",40.70619500000000,-74.00226910000000
Philippe by Philippe Chow Downtown,Chinese,"Chelsea, New York, NY","355 W 16th St, New York, NY 10011, USA",40.7423311,-74.00347910000000
San Carlo,Italian,"Soho, New York, NY","90 Thompson St, New York, NY 10012, USA",40.725135,-74.00208700000000
Stella 34 Trattoria,Italian,"Herald Square, New York, NY","151 W 34th St., New York, NY 10001, USA",40.7508631,-73.98906340000000
Alice,Italian,"West Village, New York, NY","126 W 13th St, New York, NY 10011, USA",40.7370176,-73.9986949
Archer & Goat,American (New),"Harlem, New York, NY","187 Malcolm X Blvd, New York, NY 10026, USA",40.80435020000000,-73.9484157
