Restaurant,Cuisine,Neighborhood,Address,Latitude,Longitude
Blackbarn,American (New),"Nomad, New York, NY","19 E 26th St, New York, NY 10010, USA",40.743105,-73.987104
Le Pavillon,French,"Midtown East, New York, NY","One Vanderbilt Ave, New York, NY 10017, USA",40.7540435,-73.9771971
La Voglia,Italian,"Upper East Side, New York, NY","1645 3rd Ave, New York, NY 10128, USA",40.7826745,-73.9508638
Pasta Louise,Italian,"Park Slope, New York, NY","1114 8th Ave, Brooklyn, NY 11215, USA",40.6642062,-73.9807532
Iris,Greek,"Midtown West, New York, NY","1740 Broadway, New York, NY 10019, USA",40.7651145,-73.9814962
RA Sushi Bar Restaurant – Times Square,Japanese / Sushi,"Times Square/Theatre District, New York, NY","229 W 43rd St, New York, NY 10036, USA",40.7575156,-73.9876312
No Work Allowed,Asian Fusion,"Midtown East, New York, NY","235 E 53rd St Basement, New York, NY 10022, USA",40.7572771,-73.9679771
Brooklyn Chop House - Times Square,Asian Fusion,"Times Square/Theatre District, New York, NY","253 W 47th St, New York, NY 10036, USA",40.7602153,-73.98638680000000
Dinosaur Bar-B-Que - Harlem,Barbecue,"Harlem, New York, NY","700 W 125th St, New York, NY 10027, USA",40.8180319,-73.9609174
Lido,Italian,"Harlem, New York, NY","2168 Frederick Douglass Blvd, New York, NY 10026, USA",40.8048926,-73.9546798
Red Rooster Harlem,Soul Food / Southern,"Harlem, New York, NY","310 Lenox Ave, New York, NY 10027, USA",40.8081052,-73.9447692
ABC Kitchen,American (New),"Union Square, New York, NY","35 E 18th St, New York, NY 10003, USA",40.7379036,-73.98950530000000
The Library at The Public,American (New),"Noho, New York, NY","425 Lafayette St, New York, NY 10003, USA",40.7289857,-73.9917342
Neir's Tavern,American (Traditional),"Woodhaven, New York, NY","87-48 78th St, Woodhaven, NY 11421, USA",40.6898228,-73.8635967
Tha Phraya,Thai,"Upper East Side, New York, NY","1553 2nd Ave, New York, NY 10028, USA",40.7745319,-73.954509
La Grande Boucherie,French,"Midtown West, New York, NY","145 W 53rd St, New York, NY 10019, USA",40.7630013,-73.9802753
Fish Cheeks,Thai,"Noho, New York, NY","55 Bond St, New York, NY 10012, USA",40.7256763,-73.99268220000000
Yama Ramen,Japanese / Sushi,"Midtown West, New York, NY","60 W 48th St, New York, NY 10036, USA",40.7581743,-73.9806218
Broadway Lounge,American (New),"Times Square/Theatre District, New York, NY","1535 Broadway, New York, NY 10036, USA",40.7588268,-73.98638200000000
The Dutch,American (New),"Soho, New York, NY","131 Sullivan St, New York, NY 10012, USA",40.7265479,-74.0021666
Kissaki,Japanese / Sushi,"East Village, New York, NY","319 Bowery, New York, NY 10003, USA",40.725321,-73.99184570000000
Socarrat Paella Bar - Midtown East,Spanish,"Midtown East, New York, NY","953 2nd Ave, New York, NY 10022, USA",40.7553346,-73.968549
Crave Fishbar - Midtown,Seafood,"Midtown East, New York, NY","945 2nd Ave, New York, NY 10022, USA",40.755145,-73.9686917
Kings of Kobe,Steakhouse,"Hells Kitchen, New York, NY","650 W 42nd St, New York, NY 10036, USA",40.7614321,-74.0004491
Sake No Hana,Japanese / Sushi,"Lower East Side, New York, NY","145 Bowery, New York, NY 10002, USA",40.71895690000000,-73.9944117
Bar Sprezzatura,Italian,"Times Square/Theatre District, New York, NY","251 W 48th St, New York, NY 10036, USA",40.7610219,-73.98665300000000
Wagamama - Murray Hill,Asian Fusion,"Murray Hill, New York, NY","605 3rd Ave, New York, NY 10158, USA",40.7488816,-73.9751057
Bottino,Italian,"Chelsea, New York, NY","246 10th Ave, New York, NY 10001, USA",40.7485037,-74.0032891
Noreetuh,Hawaiian,"East Village, New York, NY","128 1st Ave, New York, NY 10009, USA",40.7272947,-73.9852521
Twin Tails,Thai,"Upper West Side, New York, NY","10 Columbus Cir 3rd Floor, New York, NY 10019, USA",40.7686531,-73.9832874
Charlie Palmer Steak IV,Steakhouse,"Times Square/Theatre District, New York, NY","The Knickerbocker Hotel, 6 Times Sq 4th floor, New York, NY 10036, USA",40.7554688,-73.9863041
